# Undirected graph (each unordered pair of nodes is saved once): Gpa.txt
# Nodes: 10670 Edges: 21999
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	29
0	30
0	31
0	32
0	33
0	34
0	35
0	36
0	37
0	38
0	39
0	60
0	65
0	86
0	94
0	114
0	145
0	200
0	228
0	233
0	238
0	251
0	312
0	336
0	374
0	387
0	405
0	442
0	480
0	497
0	588
0	620
0	646
0	709
0	771
0	843
0	845
0	849
0	971
0	990
0	1013
0	1026
0	1113
0	1117
0	1184
0	1290
0	1342
0	1376
0	1379
0	1384
0	1412
0	1456
0	1469
0	1596
0	1606
0	1634
0	1757
0	1769
0	1870
0	1880
0	1911
0	1951
0	1952
0	2010
0	2055
0	2056
0	2081
0	2101
0	2115
0	2178
0	2191
0	2193
0	2213
0	2406
0	2485
0	2491
0	2550
0	2648
0	2793
0	2834
0	2883
0	2955
0	2975
0	3061
0	3188
0	3245
0	3322
0	3355
0	3356
0	3409
0	3421
0	3444
0	3493
0	3530
0	3656
0	3694
0	3734
0	3738
0	3831
0	3842
0	4032
0	4067
0	4146
0	4211
0	4234
0	4339
0	4348
0	4401
0	4526
0	4531
0	4605
0	4621
0	4688
0	4832
0	4858
0	4873
0	4923
0	4924
0	4938
0	4992
0	5120
0	5143
0	5273
0	5535
0	5647
0	5675
0	5677
0	5705
0	5722
0	5778
0	5817
0	5928
0	6077
0	6107
0	6134
0	6137
0	6283
0	6460
0	6502
0	6581
0	6584
0	6614
0	6703
0	6902
0	6930
0	6949
0	6962
0	6980
0	7000
0	7002
0	7045
0	7084
0	7124
0	7155
0	7251
0	7299
0	7569
0	7585
0	7734
0	7801
0	7941
0	8051
0	8053
0	8245
0	8287
0	8345
0	8477
0	8481
0	8542
0	8654
0	8665
0	8677
0	8920
0	9033
0	9059
0	9088
0	9400
0	9458
0	9632
0	9646
0	10040
0	10283
0	10305
0	10306
0	10337
0	10447
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
1	37
1	38
1	39
1	41
1	51
1	57
1	79
1	156
1	187
1	207
1	225
1	268
1	270
1	299
1	310
1	327
1	337
1	366
1	371
1	421
1	435
1	518
1	558
1	575
1	594
1	607
1	642
1	656
1	678
1	715
1	730
1	745
1	815
1	820
1	858
1	888
1	892
1	894
1	909
1	938
1	941
1	988
1	993
1	1018
1	1066
1	1082
1	1097
1	1276
1	1350
1	1427
1	1489
1	1537
1	1620
1	1688
1	1736
1	1746
1	1754
1	1771
1	1823
1	1825
1	1842
1	1892
1	1993
1	2129
1	2137
1	2173
1	2183
1	2233
1	2267
1	2280
1	2355
1	2446
1	2450
1	2470
1	2490
1	2543
1	2593
1	2602
1	2618
1	2619
1	2731
1	2825
1	2832
1	2895
1	2985
1	2998
1	3013
1	3032
1	3055
1	3117
1	3144
1	3203
1	3215
1	3310
1	3368
1	3381
1	3389
1	3659
1	3703
1	3819
1	3835
1	3978
1	3983
1	4066
1	4070
1	4103
1	4278
1	4352
1	4418
1	4427
1	4519
1	4567
1	4652
1	4735
1	4814
1	4834
1	4845
1	5072
1	5100
1	5187
1	5198
1	5377
1	5378
1	5440
1	5842
1	5852
1	6211
1	6284
1	6305
1	6467
1	6869
1	6905
1	7090
1	7119
1	7136
1	7215
1	7368
1	7427
1	7624
1	7630
1	7733
1	7778
1	7836
1	7884
1	8033
1	8297
1	8407
1	8434
1	8461
1	8501
1	8571
1	8606
1	8973
1	8976
1	9087
1	9183
1	9301
1	9397
1	9469
1	9535
1	9541
1	9566
1	9626
1	9728
1	9918
1	10122
1	10226
1	10357
1	10527
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
2	33
2	34
2	35
2	36
2	37
2	38
2	39
2	80
2	122
2	126
2	129
2	169
2	174
2	179
2	234
2	248
2	260
2	263
2	272
2	292
2	355
2	358
2	368
2	381
2	385
2	386
2	390
2	404
2	434
2	442
2	447
2	512
2	517
2	560
2	628
2	654
2	674
2	681
2	736
2	738
2	743
2	775
2	814
2	823
2	825
2	854
2	860
2	878
2	908
2	951
2	969
2	979
2	997
2	1040
2	1069
2	1153
2	1166
2	1167
2	1187
2	1241
2	1282
2	1307
2	1393
2	1400
2	1445
2	1507
2	1531
2	1538
2	1560
2	1622
2	1638
2	1651
2	1689
2	1796
2	1830
2	1844
2	1883
2	1885
2	1897
2	2016
2	2116
2	2151
2	2162
2	2185
2	2418
2	2478
2	2522
2	2679
2	2705
2	2715
2	2740
2	2769
2	2796
2	2820
2	2859
2	2946
2	2949
2	3049
2	3086
2	3108
2	3258
2	3265
2	3392
2	3629
2	3697
2	3821
2	3839
2	3891
2	4022
2	4038
2	4155
2	4195
2	4207
2	4223
2	4264
2	4344
2	4420
2	4430
2	4554
2	4603
2	4727
2	4746
2	4909
2	5021
2	5042
2	5075
2	5102
2	5132
2	5173
2	5326
2	5356
2	5594
2	5614
2	5644
2	5740
2	5756
2	5758
2	5763
2	5851
2	5865
2	5911
2	5983
2	6013
2	6022
2	6387
2	6464
2	6473
2	6505
2	6593
2	6620
2	6622
2	6656
2	6720
2	6748
2	6776
2	7022
2	7150
2	7226
2	7303
2	7313
2	7413
2	7451
2	7662
2	7689
2	7721
2	7804
2	7947
2	8024
2	8056
2	8117
2	8151
2	8229
2	8237
2	8324
2	8389
2	8446
2	9013
2	9068
2	9078
2	9144
2	9331
2	9366
2	9442
2	9464
2	9647
2	9671
2	9674
2	9687
2	9844
2	9997
2	10059
2	10200
2	10261
2	10346
2	10403
2	10415
2	10429
2	10508
3	4
3	5
3	6
3	7
3	8
3	9
3	10
3	11
3	12
3	13
3	14
3	15
3	16
3	17
3	18
3	19
3	20
3	21
3	22
3	23
3	24
3	25
3	26
3	27
3	28
3	29
3	30
3	31
3	32
3	33
3	34
3	35
3	36
3	37
3	38
3	39
3	43
3	59
3	83
3	120
3	137
3	139
3	152
3	173
3	174
3	180
3	189
3	256
3	257
3	285
3	303
3	329
3	330
3	382
3	397
3	402
3	454
3	458
3	548
3	553
3	558
3	582
3	624
3	635
3	637
3	752
3	811
3	812
3	843
3	852
3	1031
3	1118
3	1203
3	1213
3	1223
3	1237
3	1247
3	1260
3	1262
3	1309
3	1314
3	1363
3	1374
3	1409
3	1448
3	1474
3	1476
3	1479
3	1481
3	1515
3	1519
3	1548
3	1711
3	1788
3	1843
3	1910
3	1958
3	2014
3	2042
3	2089
3	2095
3	2170
3	2336
